Year,Month,Date,State,State_Clean,Station,Station_Clean,Monitored,Available,Power generation report for NTPC Station under (Dated) program,Power generation under todays actual,Coal Stock,Outage,Daily_Capacity_Factor,Zero_Gen_Flag,Zero_Gen_Check_Count,Capacity_Category,
2025,July-2025 ,7/10/2025,Telangana,Telangana,RAMAGUNDEM STPSUnit 2,RAMAGUNDEM STPS UNIT 2,200,0,4.00,0.00,35.00,200.00,0.00,OK,0,Low Capacity,
2018,November-2018 ,11/10/2018,Chhattisgarh,Chhattisgarh,KORBA STPSUnit 4,KORBA STPS UNIT 4,500,500,10.27,12.04,0.00,0.00,100.33,OK,0,Low Capacity,
2019,January-2019 ,1/22/2019,Odisha,Odisha,TALCHER STPSUnit 5,TALCHER STPS UNIT 5,500,500,9.97,9.06,0.00,0.00,75.50,OK,0,Low Capacity,TRUE
2025,August-2025 ,8/16/2025,Uttar Pradesh,Uttar Pradesh,RIHAND STPSUnit 6,RIHAND STPS UNIT 6,500,500,11.29,11.07,21.00,0.00,92.25,OK,0,Low Capacity,
2023,January-2023 ,1/11/2023,Uttar Pradesh,Uttar Pradesh,UNCHAHAR TPSUnit 4,UNCHAHAR TPS UNIT 4,210,210,3.35,4.69,12.00,0.00,93.06,OK,0,Low Capacity,
2022,November-2022 ,11/14/2022,Uttar Pradesh,Uttar Pradesh,SINGRAULI STPSUnit 5,SINGRAULI STPS UNIT 5,200,0,4.17,0.00,14.00,200.00,0.00,OK,0,Low Capacity,
2020,September-2020 ,9/20/2020,Uttar Pradesh,Uttar Pradesh,UNCHAHAR TPSUnit 6,UNCHAHAR TPS UNIT 6,500,500,8.83,8.01,17.00,0.00,66.75,OK,0,Low Capacity,
2019,June-2019 ,6/17/2019,Bihar,Bihar,BARAUNI TPSUnit 9,BARAUNI TPS UNIT 9,250,0,0.00,0.00,0.00,250.00,0.00,OK,0,Low Capacity,
2018,August-2018 ,8/9/2018,Gujarat,Gujarat,KAWAS CCPP,KAWAS CCPP,656,338,4.37,5.46,0.00,318.00,34.67,OK,0,Low Capacity,
2019,October-2019 ,10/9/2019,West Bengal,West Bengal,FARAKKA STPSUnit 1,FARAKKA STPS UNIT 1,200,200,3.97,3.08,5.00,0.00,64.17,OK,0,Low Capacity,
2023,November-2023 ,11/13/2023,Chhattisgarh,Chhattisgarh,SIPAT STPSUnit 2,SIPAT STPS UNIT 2,660,660,16.90,15.59,9.00,0.00,98.42,OK,0,High Capacity,
2025,September-2025 ,9/24/2025,Chhattisgarh,Chhattisgarh,LARA TPPUnit 2,LARA TPP UNIT 2,800,0,18.37,0.00,36.00,800.00,0.00,OK,0,Low Capacity,
