PIVOT TABLE 1 — National Performance Overview,,,,,,,
"Summarizing annual generation, capacity utilization, and outage trends.",,,,,,,
Year,Total Generation (MU),Avg Capacity Factor (%),Avg Available Capacity (MW),,,,
2017,1564.74,6807.84%,28883.09%,,,,
2018,5543.58,7196.21%,31000.00%,,,,
2019,4968.05,6079.76%,27403.44%,,,,
2020,4313.07,5878.70%,27818.02%,,,,
2021,5836.51,6008.15%,31873.71%,,,,
2022,6924.76,6917.11%,34858.47%,,,,
2023,6523.28,6781.99%,33438.95%,,,,
2024,7144.83,6996.40%,36197.01%,,,,
2025,6299.94,6635.42%,35924.38%,,,,
2026,501.84,7471.06%,38281.55%,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
PIVOT TABLE 2 — Station Efficiency Ranking,,,,,,,
,,,,,,,
Station,Total Monitored Capacity,Total Generation,Total Available,Total Outage,Capacity Factor %,Availability %,Outage %
KAHALGAON TPS UNIT 2,"1,260.00","16,170",0.07792207792,0,77,,
BONGAIGAON TPP UNIT 2,"1,250.00","15,500",0.08064516129,0,62,,
SINGRAULI STPS UNIT 1,"1,200.00","14,200",0.08450704225,0,71,,
RAMAGUNDEM STPS UNIT 1,"1,200.00","9,800",0.1224489796,0,49,,
SINGRAULI STPS UNIT 5,"1,000.00","12,000",0.08333333333,0,60,,
RIHAND STPS UNIT 5,"1,000.00","32,000",0.03125,1,64,,
RAMAGUNDEM STPS UNIT 5,"1,000.00","24,500",0.04081632653,0,49,,
RAMAGUNDEM STPS UNIT 2,"1,000.00","15,000",0.06666666667,0,72,,
KORBA STPS UNIT 3,"1,000.00","11,200",0.08928571429,0,56,,
BADARPUR TPS UNIT 3,950.00,950,1,0,10,,
VINDHYACHAL STPS UNIT 4,840.00,"9,870",0.08510638298,0,47,,
UNCHAHAR TPS UNIT 3,840.00,"11,340",0.07407407407,0,54,,
TELANGANA STPP PH-1 UNIT 2,800.00,"16,000",0.05,0,20,,
TELANGANA STPP PH-1 UNIT 1,800.00,"11,200",0.07142857143,0,14,,
RAMAGUNDEM STPS UNIT 3,800.00,"10,400",0.07692307692,0,52,,
DARLIPALI STPS UNIT 2,800.00,"25,600",0.03125,2,32,,
BADARPUR TPS UNIT 1,760.00,760,1,0,8,,
BONGAIGAON TPP UNIT 3,750.00,"10,750",0.06976744186,0,43,,
BARH STPS UNIT 3,660.00,"3,960",0.1666666667,0,6,,
VINDHYACHAL STPS UNIT 5,630.00,"12,600",0.05,0,60,,
VINDHYACHAL STPS UNIT 1,630.00,"10,080",0.0625,0,48,,
BADARPUR TPS UNIT 4,630.00,840,0.75,0,4,,
KORBA STPS UNIT 2,600.00,"12,400",0.04838709677,0,62,,
KORBA STPS UNIT 1,600.00,"9,800",0.0612244898,0,49,,
BONGAIGAON TPP UNIT 1,500.00,"15,500",0.03225806452,0,62,,
UNCHAHAR TPS UNIT 5,420.00,"12,810",0.03278688525,0,61,,
TALCHER (OLD) TPS UNIT 4,420.00,"1,860",0.2258064516,0,31,,
TALCHER (OLD) TPS UNIT 3,420.00,"1,680",0.25,0,28,,
KAHALGAON TPS UNIT 1,420.00,"10,920",0.03846153846,0,52,,
BADARPUR TPS UNIT 5,420.00,"1,050",0.4,0,5,,
SINGRAULI STPS UNIT 4,400.00,"11,600",0.03448275862,0,58,,
BADARPUR TPS UNIT 2,380.00,380,1,0,4,,
TALCHER (OLD) TPS UNIT 6,330.00,"2,420",0.1363636364,0,22,,
TALCHER (OLD) TPS UNIT 1,120.00,"1,380",0.08695652174,0,23,,
TANDA TPS UNIT 6,0.00,"20,460",0,2,31,,
TALCHER (OLD) TPS UNIT 2,0.00,"1,740",0,0,29,,
SINGRAULI STPS UNIT 2,0.00,"13,000",0,0,65,,
NORTH KARANPURA TPP UNIT 3,0.00,"3,300",0,0,5,,
NORTH KARANPURA TPP UNIT 2,0.00,"6,600",0,0,10,,
BARH STPS UNIT 4,0.00,"19,800",0,0,30,,
,,,,,,,
,,,,,,,
PIVOT 4 — Coal vs Performance,,,,,,,
,,,,,,,
,,,,,,,
Station_Clean,AVERAGE of Coal Stock,SUM of Power generation under todays actual,SUM of Monitored,Capacity Factor %,,,
ANTA CCPP,0.00,53.11,"26,837",0.20%,,,
AURAIYA CCPP,0.00,137.62,"39,802",0.35%,,,
BADARPUR TPS UNIT 1,0.00,0.00,760,0.00%,,,
BADARPUR TPS UNIT 2,0.00,0.00,380,0.00%,,,
BADARPUR TPS UNIT 3,0.00,0.00,950,0.00%,,,
BADARPUR TPS UNIT 4,0.00,3.82,840,0.45%,,,
BADARPUR TPS UNIT 5,0.00,12.10,"1,050",1.15%,,,
BARAUNI TPS UNIT 6,9.03,6.48,"3,570",0.18%,,,
BARAUNI TPS UNIT 7,12.47,3.06,"5,355",0.06%,,,
BARAUNI TPS UNIT 8,14.46,232.54,"14,250",1.63%,,,
BARAUNI TPS UNIT 9,15.63,102.04,"10,250",1.00%,,,
